/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:3.0 CYCLES:4272 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:3.1 CYCLES:4430 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:2.9 CYCLES:4070 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.6
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:3.0 CYCLES:4242 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 95.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:2.9 CYCLES:4084 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:2.9 CYCLES:4056 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:2.9 CYCLES:4128 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:2.9 CYCLES:4056 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:3.1 CYCLES:4414 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:3.0 CYCLES:4272 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:3.0 CYCLES:4272 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:3.1 CYCLES:4430 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:2.9 CYCLES:4070 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.6
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:5.3 CYCLES:53 ICOUNT:10 IHITRATE: 78.6 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:9.6 CYCLES:67 ICOUNT:7 IHITRATE: 77.8 DHITRATE: 75.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:5.1 CYCLES:46 ICOUNT:9 IHITRATE: 72.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:8.7 CYCLES:61 ICOUNT:7 IHITRATE: 73.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:5.3 CYCLES:53 ICOUNT:10 IHITRATE: 78.6 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:9.6 CYCLES:67 ICOUNT:7 IHITRATE: 77.8 DHITRATE: 75.0
